"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"288",2015-05-10,"Paderborn","Wolfsburg","1","3","A",16,10,4,5,11,3
"289",2015-05-16,"Augsburg","Hannover","1","2","A",8,8,2,3,3,4
"290",2015-05-16,"Freiburg","Bayern Munich","2","1","H",9,17,3,6,2,10
"291",2015-05-16,"Hertha","Ein Frankfurt","0","0","D",9,1,2,0,4,4
"292",2015-05-16,"Leverkusen","Hoffenheim","2","0","H",13,16,4,5,4,9
"293",2015-05-16,"Mainz","FC Koln","2","0","H",18,12,6,4,2,5
"294",2015-05-16,"Schalke 04","Paderborn","1","0","H",18,22,2,4,10,9
"295",2015-05-16,"Stuttgart","Hamburg","2","1","H",22,7,11,1,9,2
"296",2015-05-16,"Werder Bremen","M'gladbach","0","2","A",19,14,3,4,5,4
"297",2015-05-16,"Wolfsburg","Dortmund","2","1","H",12,17,8,3,6,5
"298",2015-05-23,"Bayern Munich","Mainz","2","0","H",20,7,7,5,5,3
"299",2015-05-23,"Dortmund","Werder Bremen","3","2","H",22,7,8,4,9,1
"300",2015-05-23,"Ein Frankfurt","Leverkusen","2","1","H",8,19,3,7,3,8
"301",2015-05-23,"FC Koln","Wolfsburg","2","2","D",12,15,3,5,4,8
"302",2015-05-23,"Hamburg","Schalke 04","2","0","H",11,11,4,4,3,6
"303",2015-05-23,"Hannover","Freiburg","2","1","H",11,9,6,5,3,5
"304",2015-05-23,"Hoffenheim","Hertha","2","1","H",16,4,5,1,1,2
"305",2015-05-23,"M'gladbach","Augsburg","1","3","A",10,15,3,4,1,6
"306",2015-05-23,"Paderborn","Stuttgart","1","2","A",15,18,5,3,2,8
"307",2015-08-14,"Bayern Munich","Hamburg","5","0","H",23,5,9,1,7,0
"308",2015-08-15,"Augsburg","Hertha","0","1","A",20,11,3,4,7,4
"309",2015-08-15,"Darmstadt","Hannover","2","2","D",11,14,4,5,5,9
"310",2015-08-15,"Dortmund","M'gladbach","4","0","H",17,5,7,1,3,5
"311",2015-08-15,"Leverkusen","Hoffenheim","2","1","H",25,6,9,2,13,5
"312",2015-08-15,"Mainz","Ingolstadt","0","1","A",9,14,3,5,6,2
"313",2015-08-15,"Werder Bremen","Schalke 04","0","3","A",15,16,2,5,5,6
"314",2015-08-16,"Stuttgart","FC Koln","1","3","A",28,9,8,5,13,3
"315",2015-08-16,"Wolfsburg","Ein Frankfurt","2","1","H",5,13,3,6,7,3
"316",2015-08-21,"Hertha","Werder Bremen","1","1","D",10,9,2,3,6,2
"317",2015-08-22,"Ein Frankfurt","Augsburg","1","1","D",11,14,3,4,7,4
"318",2015-08-22,"FC Koln","Wolfsburg","1","1","D",9,15,6,7,2,4
"319",2015-08-22,"Hamburg","Stuttgart","3","2","H",14,12,5,4,0,5
